id;kode_pohon;nama_lokal;nama_latin;Group;Icon;status_iucn;diameter;tinggi;unit_PS;jenis_lahan;nama_khas_wilayah;Latitude;Longitude;elevasi;jarak_permukiman;status_adopsi;nama_pengadopsi;masa_berlaku;nama_surveyor;waktu_survei;harga_adopsi;serapan_karbon;penyedia_bibit;metode_karbon;Image1;Image2;Image3;Image4;chart_link
85;BAA0069RBF;Cempedak air;Artocarpus sp.;Pohon Dewasa;icon/mature_tree.svg;Not Defined;42;31;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5485845;101.0798684;18.7040899;3.09;Belum;-;-;Hari Yudistira;9/22/2021 14:16;200000;3783.27;-;Chave et al, 2014;;;;;
86;BAA0123RBF;Asam ;Garcinia sp.;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;32;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5485864;101.0800257;25.99477052;3.08;Belum;-;-;Putri;9/22/2021 14:25;200000;4686.58;-;Chave et al, 2014;;;;;
87;BAA0070RBF;Belanti;Coccoceras borneense;Pohon Dewasa;icon/mature_tree.svg;Not Defined;53;32;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5488817;101.0801224;13.41073396;3.05;Belum;-;-;Putri;9/22/2021 14:29;200000;5489.06;-;Chave et al, 2014;;;;;
88;BAA0071RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;48;28;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5489769;101.0800551;12.59785988;3.04;Belum;-;-;Hari Yudistira;9/22/2021 14:33;200000;5057.13;-;Chave et al, 2014;;;;;
89;BAA0072RBF;Simpur;Dillenia sp.;Pohon Muda;icon/young_tree.svg;Least Concern;30;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.548955;101.0800625;12.57341667;3.04;Belum;-;-;Putri;9/22/2021 14:36;50000;1808.94;-;Chave et al, 2014;;;;;
90;BAA0073RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;55;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5489323;101.0799083;12.98566652;3.05;Belum;-;-;Hari Yudistira;9/22/2021 14:40;200000;7055.92;-;Chave et al, 2014;;;;;
91;BAA0074RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;58;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5490909;101.0798833;-3.586144925;3.04;Belum;-;-;Hari Yudistira;9/22/2021 15:02;200000;6550.83;-;Chave et al, 2014;;;;;
92;BAA0075RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;45;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5491059;101.0799598;4.506390279;3.03;Belum;-;-;Putri;9/22/2021 15:05;200000;4769.1;-;Chave et al, 2014;;;;;
93;BAA0124RBF;Leban bunga;Vitex Pinnata;Pohon Dewasa;icon/mature_tree.svg;Least Concern;52;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5491569;101.0799529;10.9159103;3.03;Belum;-;-;Putri;9/22/2021 15:09;200000;6160.96;-;Chave et al, 2014;;;;;
94;BAA0125RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;49;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5491154;101.0799248;3.288989248;3.04;Belum;-;-;Hari Yudistira;9/22/2021 15:12;200000;5631.55;-;Chave et al, 2014;;;;;
95;BAA0126RBF;Leban bunga;Vitex Pinnata;Pohon Dewasa;icon/mature_tree.svg;Least Concern;42;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5491106;101.0799217;15.31103604;3.04;Belum;-;-;Hari Yudistira;9/22/2021 15:17;200000;4851.47;-;Chave et al, 2014;;;;;
